HVQ_036_000001	Của bầu một nước, không gì quý bằng đất đai: nhân dân và của cải đều do đấy mà sinh ra.
HVQ_036_002539	Lầu Tiết Phụ cũng ở xã Phù Ủng.
HVQ_036_002540	Khi thuộc Minh, có một người đàn bà họ Phạm ở góa nuôi con, không chịu để giặc làm nhơ nhuốc.
HVQ_036_002541	Cả một vùng khen là người đàn bà có tiết.
HVQ_036_002542	Buổi đầu triều Lê [vua] ban cho biển vàng treo ở nhà để nêu tiết hạnh.
HVQ_036_002543	Khoảng đầu thời Hồng Đức, triều thần là Thân Nhân Trung dựng lên cái lầu và có làm bài văn bia ghi lại).
HVQ_036_002544	Phong vật trong phủ phần nhiều chuộng văn hoa, tập tục của sĩ phu đều ưa văn nhã.
HVQ_036_002545	(a) Tục gọi là dinh Dậu.
HVQ_036_002546	142 Lịch triều hiến chương loại chí Về khoa mục, ba huyện đều thịnh, mà huyện Đường An nhiều hơn), Họ Vũ làng Mộ Trạch, họ Nhữ làng Hoạch Trạch, phát đạt nhất trong một phủ.
HVQ_036_002547	(Làng Mộ Trạch từ Vũ Hữu trở xuống đời đời đỗ đạt, gần 30 người.
HVQ_036_002548	Người Trung Quốc thường khen đất này là cái tổ tiến sĩ.
HVQ_036_002549	Làng Hoạch Trạch từ Nhữ Tiến Dụng trở xuống, bốn đời đỗ được năm người).
HVQ_036_002550	Còn những bề tôi có tiếng, những nhà nho học rộng, đời nào cũng có; văn vật tốt đẹp trong các đời trước sau đều có tiếng khen.
HVQ_036_002551	(Như Vũ Tụ ở Hoạch Trạch về đời Hồng Đức, có tiếng là liêm khiết.
HVQ_036_002552	Lê Nại ở làng Mộ Trạch, về thời Đoan Khánh nổi tiếng văn chương.
HVQ_036_002553	Phạm Tử Hướ ở làng Nghĩa Lư là người có hạnh nghĩa, nêu danh ở cuối đời Lý.
HVQ_036_002554	Phạm Công Trứ ở làng Liêu Xuyên là người văn học, công nghiệp làm tướng rực rỡ đời Lê trung hưng, còn ngoài ra không thể ghi chép hết được).
HVQ_036_002555	Đến như họ ngoại nhà chúa và các tướng võ đều có tiếng hách dịch.
HVQ_036_002556	Những người làm chức lại, làm thợ, cũng đều tinh xảo, tài giỏi.
HVQ_036_002557	(Làng Mi Thữ, huyện Đường An có Vũ thị lấy Hy Tổ Trịnh [Cương], sinh ra Dụ Tổ [Trịnh Giang] và Nghị Tổ [Trịnh Doanh].
HVQ_036_002558	Trong khoảng 50 năm, uy thế họ ngoại nhà chúa rất là hách dịch.
HVQ_036_002559	Họ Đình làng Hàm Giang từ Văn Tả đánh giặc lập công, sự nghiệp hiển hách ở đời Lê trung hưng, con cháu về sau nối đời làm quận công, có tài đánh giặc nổi tiếng trong nước.
HVQ_036_002560	(a) Huyện Đường Hào 10 người đỗ, huyện Cẩm Giàng 10 người, huyện Đường An 44 người.
HVQ_036_002561	(1) Đỗ hoàng giáp năm 1463.
HVQ_036_002562	(2) Đỗ tiến sĩ năm 1663.
HVQ_036_002563	(3) Đỗ hoàng giáp năm 1498.
HVQ_036_002564	(4) Đỗ trạng nguyên năm 1505.
HVQ_036_002565	(5) Đỗ tiến sĩ năm 1208.
HVQ_036_002566	(6) Đỗ tiến sĩ năm 1628.
HVQ_036_002567	(7) Có câu: "Đánh giặc họ Hàm", tức là họ Đình ở Hàm Giang.
HVQ_036_002568	Dư địa chí 143 Những người ở các làng Dị Sử, Bạch Sam về huyện Đường Hào; làng Hoa Đường về huyện Đường An, quen việc viết, tính, thông hiểu việc làm lại, làm tì thuộc ở các vệ trong Kinh, ngoài trấn, không thể kể hết ra được.
HVQ_036_002569	Các nghề làm thợ thì: thợ rèn đồ sắt ở các làng Lỗ Xá, Cẩm Đường thuộc huyện Cẩm Giàng, làng Lôi Trì huyện Đường An, làng Vân Dương huyện Đường Hào, đều rèn sắt làm những cái bừa, cái cưa.
HVQ_036_002570	Thợ làm đồ vàng ở làng Trâu Khê thuộc huyện Đường An đúc đồ vàng bạc.
HVQ_036_002571	Thợ thiếc ở làng Cao Xá, huyện Cẩm Giàng.
HVQ_036_002572	Thợ làm cân ở làng Bái Dương, huyện Cẩm Giàng.
HVQ_036_002573	Thợ mộc ở làng Phúc Cố, huyện Đường Hào và làng Đặng Xá, làng Cẩm Sơn, huyện Cẩm Giàng.
HVQ_036_002574	Thợ xẻ ở làng Hạ Khu, làng Mặc Đông huyện Đường An.
HVQ_036_002575	Thợ nặn đồ đất thì ở làng Đạo Khê, huyện Đường Hào làm ra các thứ nồi đất; làng Hương Giản, huyện Đường An làm ra các thứ bát đĩa chén.
HVQ_036_002576	Thợ nhuộm thì ở các làng Sài Trang, Đường Trang, Đoan Trang, Nghĩa Trang, Liêu Xuyên, Xuân Dục về huyện Đường Hào; làng Ngọc Cục, làng Đan Loan huyện Đường An.
HVQ_036_002577	Thợ đan võng ở làng Dị Sử, làng Ngọc Lập huyện Đường Hào.
HVQ_036_002578	Thợ dệt chiếu ở làng Nga Hoàng, huyện Cẩm Giàng.
HVQ_036_002579	Thợ bưng trống ở làng Liêu Thượng, làng Liêu Xá, huyện Đường Hào.
HVQ_036_002580	Thợ làm chài lưới ở làng Ó Xuyên, làng Nhật Quả, huyện Cẩm Giàng; làng Đỗ Xá, huyện Đường Hào.
HVQ_036_002581	Đan thúng ở làng Hàm Thượng, huyện Cẩm Giàng.
HVQ_036_002582	Làm đồ đồi mồi và quạt trúc ở làng Đào Xá, huyện Đường An, làng Tiên Cầu huyện Đường Hào.
HVQ_036_002583	Làm lược mau thì ở làng Hoạch Trạch.
HVQ_036_002584	Thổ ngơi thì hoa cỏ cây cối, ba huyện có nhiều thứ tốt.
HVQ_036_002585	(Bông ở xã An Tập, xã Phù Lan huyện Đường Hào.
HVQ_036_002586	Cây chàm ở các xã Sài Trang, Đường Trang, Đoan Trang.
HVQ_036_002587	Cam, quýt, mơ, mận ở xã Đường Hào.
HVQ_036_002588	Nhãn ở xã Ngọc Trục, xã Minh Quyết, huyện Cẩm Giàng.
HVQ_036_002589	Mía và mật mía ở các xã Bình Lãng, Nga Hoàng, Bình Lâu, Thanh Cương, Đàm Lộc, Văn Thai.
HVQ_036_002590	Gạo biển ở xã Ó Xá, xã Bình Dã huyện Đường An).
HVQ_036_002591	(1) Gạo biển (v) chữ này tra không thấy.
HVQ_036_002592	Có lẽ là chữ Nôm, không biết là gạo gì.
HVQ_036_002593	144 Lịch triều hiến chương loại chí Có 4 huyện: Huyện Gia Phúc.
HVQ_036_002594	Huyện Tứ Kỳ.
HVQ_036_002595	Huyện Thanh Miện.
HVQ_036_002596	Huyện Vĩnh Lại.
HVQ_036_002597	Phủ Hạ Hồng ở phía nam trấn Hải Dương.
HVQ_036_002598	Huyện Gia Phúc về phía tây có sông từ huyện Đường An chảy đến, một chi chảy sang phía bắc, giáp huyện Cẩm Giàng, một chi chảy sang phía nam, giáp huyện Thanh Miện; phía đông tiếp giáp huyện Tứ Kỳ.
HVQ_036_002599	Huyện Tứ Kỳ thì lấy bến sông làm giới hạn, phía bắc gần huyện Thanh Hà, phía nam giáp huyện Vĩnh Lại, phía đông đến huyện Tiên Minh...
HVQ_036_002600	Huyện Thanh Miện, bốn mặt đều là sông lớn, phía tây nam đối ngạn với huyện Thiên Tị, huyện Phù Dung.
HVQ_036_002601	Huyện Vĩnh Lại, sông chảy chằng chịt, phía nam đối ngạn với huyện Quỳnh Côi, chảy sang phía đông đổ ra cửa biển Thái Bình.
HVQ_036_002602	Còn Hồng Giang từ đầu dòng chảy quanh vòng cả bốn huyện phía nam chảy vào cửa Một, huyện Vĩnh Lại rồi chảy ra biển.
HVQ_036_002603	Địa thế trong phủ rộng, xa, không có núi rừng ngăn trở, của cải trong cả phủ đều thịnh, mà huyện Tứ Kỳ giàu hơn cả.
HVQ_036_002604	Cổ tích có chùa Quang Minh, đền Hạ Bì là chỗ linh thiêng trong một địa phương.
HVQ_036_002605	(Chùa Quang Minh ở xã Hậu Bổng, huyện Gia Phúc.
HVQ_036_002606	Tương truyền có nhà sư tên tự là Huyền Chân tu ở đây, ai cũng khen là bậc cao tăng.
HVQ_036_002607	Đến tuổi già, sư nằm mộng thấy Phật Di Đà giáng xuống bảo rằng: "Nhà...).
HVQ_036_002608	(a) Đời cổ gọi là Trường Tân, năm Hồng Thuận [1509 - 1516] đời Lê đổi làm Gia Phúc, gần đây lại đổi làm Gia Lộc.
HVQ_036_002609	Trước 14 xã, nay 85 xã.
HVQ_036_002610	(b) Trước 128 xã.
HVQ_036_002611	Nay 124 xã, thôn.
HVQ_036_002612	(c) Trước 59 xã.
HVQ_036_002613	Nay 58 xã.
HVQ_036_002614	(d) Trước 108 xã.
HVQ_036_002615	Nay 106 xã.
HVQ_036_002616	- (1) Sau này đổi là Ninh Giang.
HVQ_036_002617	ngươi có công với đạo giáo, sẽ được giáng sinh làm vua Trung Quốc".
HVQ_036_002618	Đến khi sư hóa, đệ tử theo lời di chúc, lấy son viết mười chữ vào vai.
HVQ_036_002619	Sau sứ thần nước ta là Nguyễn Tự Cường sang sứ nhà Minh, Hy Tông nhà Minh triệu vào bảo cho biết những chữ ở trên vai mình.
HVQ_036_002620	Vua mới biết mình là sư ở chùa Quang Minh giáng sinh.
HVQ_036_002621	Rồi sai về lấy nước giếng ở chùa ấy đem sang rửa, nét chữ mới hết.
HVQ_036_002622	Đền Hạ Bì ở xã Hạ Bì, huyện Gia Phúc, thờ một người kỳ dị thường thấy linh ứng.
HVQ_036_002623	Tương truyền người này xưa làm nghề bán trai, hến biển.
HVQ_036_002624	Một hôm, đến bãi biển thấy hai con trâu húc nhau, bèn lấy đòn gánh đánh, trâu chạy xuống biển có cái lông rụng ra dính vào đầu đòn gánh.
HVQ_036_002625	Người này lấy lông ấy nuốt đi, từ đấy khỏe mạnh lạ thường, lội xuống nước như đi ở trên đất.
HVQ_036_002626	Bấy giờ có giặc ở phương Bắc sang, người trong nước đều sợ hãi.
HVQ_036_002627	Vua xuống chiếu cầu người đánh lui giặc.
HVQ_036_002628	Người này xin đi.
HVQ_036_002629	Rồi lặn xuống đáy biển nấp dưới thuyền giặc, lấy cái dùi sắc khoét thủng thuyền, thuyền giặc phần nhiều bị đắm.
HVQ_036_002630	Giặc rất sợ, kéo quân đi.
HVQ_036_002631	Sau người này mất, triều đình nhớ công, truy phong là đại vương, lập đền thờ.
HVQ_036_002632	Sự tích chép ở Công dư tiệp ký).
HVQ_036_002633	Về khoa mục thì huyện Gia Phúc, huyện Tứ Kỳ [đỗ] nhiều hơn, huyện Vĩnh Lại, huyện Thanh Miện cũng tương đương nhau.
HVQ_036_002634	Những người học giỏi, những bề tôi hiền phần nhiều quê ở trong hạt.
HVQ_036_002635	(Như Bùi Bá Kỳ ở huyện Thanh Miện là Thái học sinh cuối đời Trần, căm tức vì nhà Hồ cướp ngôi Trần, vượt biển sang xin quân Minh về đánh.
HVQ_036_002636	Lương Như Hộc ở làng Hồng Lục, đỗ Thám hoa đầu triều Lê, hai lần phụng mạng đi sứ Trung Quốc, khi về đem nghề khắc chữ dạy cho người làng.
HVQ_036_002637	Phạm Trấn ở làng Lam Cầu đỗ Khôi nguyên [thời Mạc], văn chương áp đảo hơn cả bọn nhà nho.
HVQ_036_002638	Về thời Mạc, có Nguyễn Bỉnh Khiêm ở làng Trung Am, đỗ Trạng nguyên, có tài giỏi lưu tiếng nghìn đời).
HVQ_036_002639	Thổ sản thì cây cối và các thứ ăn được đều tốt và ngon.
HVQ_036_002640	(a) Huyện Gia Phúc 47 người đỗ, huyện Tứ Kỳ 47 người, huyện Thanh Miện 18 người, huyện Vĩnh Lại 18 người.
HVQ_036_002641	146 Lịch triều hiến chương loại chí (Về huyện Gia Phúc thì xã Đồng Lại có mít, dưa, hến; xã Đồng Tải có mắm con ruốc; các xã Hoa Điếm, Cao Duệ, Tống Đức, Đỗ Lâm, Kim Gia, An Cư, đều có dưa hấu.
HVQ_036_002642	Về huyện Tứ Kỳ thì các xã Nho Lâm, Như Lâm, Úc Tái, Cái Dương, Mỹ Ân đều có cam tươi.
HVQ_036_002643	Các xã Trúc Trị, Xuân Cốc, Phù Lưu, Can Trì, Kinh Trì, Ngọc Đồng, An Cúc, Lễ Trị, Tổng Tranh có thuốc lào.
HVQ_036_002644	Các xã Nhũ Mễ, Vũ Xá, Đồng Quang, có cam đường.
HVQ_036_002645	Các xã Bảo Lộc, Chân Lại, Toại An, Da Xuyên có bạch nhãn(1).
HVQ_036_002646	Xã Phan Xá có dưa hấu.
HVQ_036_002647	Xã Hòa Nhuệ có quả vải.
HVQ_036_002648	Xã Nghĩa Lý và xã Oai Nỗ có mía.
HVQ_036_002649	Ở bến các xã Nam Tạ, Quý Xuyên, Trà An, Định An, Lao Chương, Công An có con cấy.
HVQ_036_002650	Các xã Nội Châu, An Ngoại, Lôi Đồng có cua.
HVQ_036_002651	Các xã Cự Lộc, Châu Cầu, Hà Hải, Hữu Chung có rươi.
HVQ_036_002652	Về huyện Vĩnh Lại thì các xã Bối Giang, Bồ Dương có cây bông.
HVQ_036_002653	Các xã Linh Đông, Phần Thượng, Lang Viên, các xã Quán Khái, An Lạc, Tiêu Qua có cau và dừa; xã Đông Am có thuốc lào.
HVQ_036_002654	Về hạt huyện Thanh Miện thì có thứ đất màu đỏ).
HVQ_036_002655	Nghề làm thợ thì có nhiều thợ khéo hơn cả các nơi khác.
HVQ_036_002656	(Thợ rèn đồ sắt ở xã Ba Đông, huyện Gia Lộc, thường rèn ra các bừa, cưa; xã La Tinh, huyện Tứ Kỳ có thợ làm đồ vàng bạc; thợ mộc thì ở các xã Hậu Bổng, Hội Xuyên thuộc huyện Gia Lộc và các xã Bình Cách, Hàm Hy, Báo Đáp, Tử Các huyện Tứ Kỳ.
HVQ_036_002657	Thợ khắc bản in sách thì ở các xã Hồng Lục, Liễu Chàng huyện Gia Phúc; nghề nuôi tằm dệt tơ thì ở các xã Đoàn Lâm, Đào Lâm, Phạm Châu huyện Gia Phúc.
HVQ_036_002658	Thợ nhuộm thì ở xã Đoàn Tùng, Phúc Châu huyện Tứ Kỳ.
HVQ_036_002659	Nghề dệt chiếu thì ở các xã Quảng Xuyên, Chu Uyên, Hựu Hiền huyện Tứ Kỳ.
HVQ_036_002660	Nghề làm cối xay ở xã Liêu Xá huyện Tứ Kỳ.
HVQ_036_002661	Nghề làm lờ, đó ở xã Đoàn Dịch, nghề làm hương đen ở xã Quang Anh đều thuộc huyện Gia Phúc).
HVQ_036_002662	Có 4 huyện: Huyện Thanh Hà.
HVQ_036_002663	Huyện Thanh Lâm.
HVQ_036_002664	(a) Trước gọi là Bình Hà (62 xã).
HVQ_036_002665	(b) Có 79 xã.
HVQ_036_002666	(1) Có lẽ là một thứ nhãn hột trắng.
HVQ_036_002667	Dư địa chí 147 Huyện Tiên Minh, huyện Chí Linh.
HVQ_036_002668	Phủ Nam Sách ở phía đông bắc trấn Hải Dương.
HVQ_036_002669	Huyện Thanh Lâm giáp giới với huyện Lương Tài về Kinh Bắc.
HVQ_036_002670	Giang phận từ sông Lục Đầu chảy đến, một chi theo sông lớn chảy về phía bắc, sang bên đông đến huyện Chí Linh; một chi theo sông lớn chảy về phía nam sang bên đông hợp với Hàm Giang.
HVQ_036_002671	Huyện Thanh Hà bốn mặt đều sông lớn, những dòng nước chảy chằng chịt như mạng nhện phía tây suốt đến trấn thành Hải Dương, phía đông thông suốt đến huyện Tiên Minh.
HVQ_036_002672	Huyện Tiên Minh bắt đầu từ Châm Khê, cuối đến Úc Hải, khoảng giữa là xã Lũ Đăng, phía nam suốt đến huyện Vĩnh Lại, phía bắc tiếp huyện An Lão, chỗ đối ngạn có đầm Lôi Tân.
HVQ_036_002673	Các dòng nước trong 12 tổng đổ cả đến đấy.
HVQ_036_002674	Đầm có cống thông nước, khi mở khi đóng, rất tiện cho việc làm ruộng.
HVQ_036_002675	Ba huyện đều có sông dài vòng quanh.
HVQ_036_002676	Rừng núi hơi xa, chỉ có huyện Chí Linh, phía bắc gần huyện Phượng Nhỡn, có núi cao chót vót, phía tây giáp huyện Thanh Lâm.
HVQ_036_002677	Một dải sông lớn chảy đến Vạn Giang rẽ sang phía đông, đến chỗ đối ngạn với huyện Giáp Sơn thì chia một chi chảy thẳng đến huyện Đông Triều, một chi chảy sang phía nam thông đến huyện Thanh Hà.
HVQ_036_002678	Thuộc huyện có bốn tổng ở phía bắc sông lớn, ba tổng ở phía nam sông lớn nên có tên gọi là Hà Bắc, Hà Nam.
HVQ_036_002679	Trong huyện [Chí Linh] này có nhiều núi đẹp, cảnh lạ như núi Côn, cảnh vật thanh vắng âm u, là nơi Băng Hồ người đời Trần về hưu trí ở đấy, núi hang rất đẹp.
HVQ_036_002680	(a) Trước cùng với Thanh Hà làm một, gọi là Bình Hà.
HVQ_036_002681	Thời Lê chia làm hai: Thanh Hà và Tân Minh.
HVQ_036_002682	Sau kiêng tên húy Kính Tông, đổi Tiên Minh.
HVQ_036_002683	Trước có 61 xã, nay 89 xã.
HVQ_036_002684	(b) Trước 95 xã, đời cổ gọi là Bàng Hà.
HVQ_036_002685	Nay có 91 xã, thôn.
HVQ_036_002686	(c) Tục ngạn nói rằng: "Đầu Mè, đuôi Úc, giữa khúc Lục Đăng".
HVQ_036_002687	(1) Sau này đổi là Tiên Lãng.
HVQ_036_002688	(2) Biệt hiệu của Trần Nguyên Đán.
HVQ_036_002689	(3) Ý nói địa thế huyện Tiên Minh là như vậy.
HVQ_036_002690	148 Lịch triều hiến chương loại chí (Núi Côn Sơn ở xã Chi Ngại, trước thuộc về huyện Phượng Nhãn, trấn Kinh Bắc, hình như con kỳ lân.
HVQ_036_002691	Trên núi có động Thanh Hư, dưới núi có cầu Thấu Ngọc, cây và đá xanh um thật là cảnh đẹp ở nhân gian.
HVQ_036_002692	Về triều Trần, sư Pháp Loa làm nhà tu ở đấy, sư Huyền Quang cũng thường đến tu ở núi này.
HVQ_036_002693	Đến cuối Trần, Băng Hồ về hưu, khi uống rượu, khi ngâm thơ ung dung thích ý, cháu ngoại là Ức Trai) có làm bài ca để tả cảnh: Côn Sơn hữu tuyền, Kỳ thanh linh linh nhiên.
HVQ_036_002694	Ngô dĩ vi cầm huyền.
HVQ_036_002695	Côn Sơn hữu thạch, Vũ tẩy đài phô bích, Ngô dĩ vi đạm tịch.
HVQ_036_002696	Côn Sơn hữu tùng, Vạn cái thúy đồng đồng, Ngô ư thị hồ yến tức kỳ trung.
HVQ_036_002697	Côn Sơn hữu trúc, Thiên mẫu ấn hàn lục, Ngô ư thị hồ khiếu vịnh kỳ trắc...
HVQ_036_002698	Nghĩa là: Côn Sơn có suối, tiếng nước chảy róc rách ta lấy đó làm tiếng đàn.
HVQ_036_002699	Côn Sơn có đá, mưa xuống rửa sạch rêu, phơi ra màu đá xanh, ta lấy đó làm chiếu đệm.
HVQ_036_002700	Côn Sơn có cây tùng, như muôn cái lọng xanh, ta nghỉ ngơi ở dưới bóng.
HVQ_036_002701	Côn Sơn có cây trúc, nghìn mẫu in màu xanh ngắt, ta ngâm vịnh ở ngay bên cạnh"...
HVQ_036_002702	Đó là ngợi khen phong cảnh ở nơi ấy).
HVQ_036_002703	Núi Phượng Hoàng, phong cảnh cũng âm u tịch mịch, có những nền cũ của cung điện nhà Trần.
HVQ_036_002704	Văn Trinh Chu An ẩn ở đấy di tích hãy còn.
HVQ_036_002705	(Núi Phượng Hoàng ở xã Kiệt Đặc, trước thuộc huyện Phượng Nhãn, ngọn núi hơi ngả xuống, hai bên sườn núi mở rộng ra, hình như chim (1) Biệt hiệu của Nguyễn Trãi.
HVQ_036_002706	(2) Tức là Văn Trình công, tên thụy của Chu An.
HVQ_036_002707	Dư địa chí 149 phượng múa.
HVQ_036_002708	Thời nhà Trần có làm ra cung Tử Cực, điện Lưu Quang ở đấy, Băng Hồ có thơ: Song phượng du du vọng diểu minh, Phượng hoàng vạn cổ ái phương danh, Lên phong tháp liệt như hồng ảnh, Miết thủy tuyển minh tác vũ thanh, Nguy đằng binh niên thương tiển hợp, Tân kiều đới lộ hắc chí sinh, Tùng phong nhật noãn huyền thòng ưởng, Tương tự lại nghị tấu cửu thành.
HVQ_036_002709	Hình núi xoe trông giống như hai con phượng.
HVQ_036_002710	Muôn đời vần còn tên đẹp đẽ là núi Phượng Hoàng.
HVQ_036_002711	Tháp trên núi Kỳ Lân bày ra, bóng chiếu như hình cầu vồng.
HVQ_036_002712	Nước suối Miết Trì chảy xuống, tiếng reo như trời đổ mưa, Bộc đá cằo đã lâu năm rêu xanh phủ kín, Chỗ cầu mới đượm sương, cỏ chỉ mọc xanh rì.
HVQ_036_002713	Buổi nắng ấm gió thổi vào cây tùng tiếng reo vang trong bầu trời.
HVQ_036_002714	Hình như khi xưa ca xong chín khúc nhạc [tiêu thiểu], có chim phượng hoàng đến chầu múa.
HVQ_036_002715	Lại có bài thơ nữa: Xuân nhật táo di hoa ảnh động, Thu phong vãn tống hạc thanh lai Lưu quang điện hạ tùng thiên thụ Tên thị bình thiên nhất thủ tài.
HVQ_036_002716	Bóng mặt trời mùa xuân buổi sớm chiếu xế, bóng hoa lay động, Gió thu buổi chiều đưa tiếng hạc đến.
HVQ_036_002717	(1) Đời Ngu Thuấn làm ra nhạc tiêu thiểu, khi chín khúc nhạc ca xong, vì nhạc hay nên có chim phượng hoàng đến múa.
HVQ_036_002718	Dưới điện Lưu Quang có hàng nghìn cây tùng, đều là những cây cao ngất trời, do một tay trồng ra.
HVQ_036_002719	Hai bài trên đều là ngợi khen cảnh đẹp chỗ ấy.
HVQ_036_002720	Dưới núi thì đầy giếng có ngọc châu quý, mềm như bùn, phơi khô thì thành ngọc.
HVQ_036_002721	Bên núi có cái ao gọi là Miết Trì, lưng núi có chùa Lệ Kỳ.
HVQ_036_002722	Đầu thời Trần có đạo sĩ là Huyền Vân ẩn ở đấy, luyện thuốc tiên nên gọi là động Huyền Vân.
HVQ_036_002723	Trong thời Trần, Văn Trinh Chu [An] bỏ quan về, thích phong cảnh huyện Chí Linh, đến ở đấy, có thơ rằng:
HVQ_036_002724	Vạn điệp thương sơn thốc họa bình,
HVQ_036_002725	Trà dương đảo quải bán khê minh.
HVQ_036_002726	Lục la bích lý vô nhân đáo,
HVQ_036_002727	Sơn hạc đề yên chỉ nhất thanh.
HVQ_036_002728	Muôn tầng núi xanh tụ lại như bức bình phong vẽ.
HVQ_036_002729	Ánh mặt trời buổi chiều chiếu xuống, làm cho một nửa khe nước sáng.
HVQ_036_002730	Lối đi trong đám dây leo xanh um, không người nào đến.
HVQ_036_002731	Khi có khói bay, con hạc núi chỉ kêu lên một tiếng.
HVQ_036_002732	Cuối đời Lê, tham tụng Bùi [Huy] Bích có lập bia Văn Trinh công ở bên cạnh núi ấy).
HVQ_036_002733	Lại còn như núi Phao Sơn, núi Dược Sơn, núi Thanh Lương, sông Triền Dương), cũng có nhiều cảnh đẹp đáng thưởng lãm.
HVQ_036_002734	(Núi Phao Sơn có thành cổ, đời Vĩnh Lạc nhà Minh đắp ra.
HVQ_036_002735	Nhà Mạc đắp thêm rộng, chân thành cũ vẫn còn.
HVQ_036_002736	Cạnh núi có một ngôi chùa có tiếng.
HVQ_036_002737	Đối ngạn bên kia sông là chùa Phả Lại, thuộc trấn Kinh Bắc, khi có tiếng chuông, tiếng trống đều cùng nghe thấy.
HVQ_036_002738	Phía trước núi trông ra bãi Đại Than ở sông Lục Đầu, lửa của thuyền chài và ánh sáng mặt trăng cảnh rất đáng yêu.
HVQ_036_002739	Về phía đông nam bên dưới núi, nổi lên một bãi cát nom như hình hai con nhạn, dài mười trượng, cao vài mươi thước, trông gần thì như bạc, trông xa thì như nước.
HVQ_036_002740	Người Trung Quốc (1) Trong Hoạt Dương địa dư chép là Lý Dương.
HVQ_036_002741	Dư địa chí nói về kiểu đất chỗ này có câu: "Bạch nhạn vô mao, sơn tận anh hào", nghĩa là: "bao giờ chim nhạn trắng không mọc lông thì không sinh ra người anh hào nữa".
HVQ_036_002742	Mộ tổ họ Nguyễn ở làng Kim Đôi lấy bãi cát ấy làm án, đời nọ đời kia nối nhau, phát đỗ tới 13 tiến sĩ.
HVQ_036_002743	Nay những cỏ mọc ở bãi nhạn trắng đó, mười phần chỉ còn độ 3 - 4 phần.
HVQ_036_002744	Bãi hình chim nhạn gần với chùa Sùng Nghiêm, thuộc xã Nam Giản.
HVQ_036_002745	Trong sách nói về kiểu đất của người Trung Quốc, cho Cổ Bị làm chi giữa, Thăng Long làm chi tả, Nam Giản làm chi hữu.
HVQ_036_002746	Núi Dược Sơn giáp giới với làng Vạn Kiếp thuộc huyện Phượng Nhỡn.
HVQ_036_002747	Nổi lên hai ngọn núi gọi là núi Nam Tào, núi Bắc Đẩu, đứng đối nhau.
HVQ_036_002748	Đằng trước trông ra vụng sông Thiên Đức.
HVQ_036_002749	Núi Thanh Lương ở xã Mặc Động, giữa đồng bằng mọc lên một ngọn núi.
HVQ_036_002750	Dưới núi có bến đò gọi là bến Vạn, tức là sông Thanh Lương.
HVQ_036_002751	Trên đỉnh núi có chùa cổ.
HVQ_036_002752	Lên núi mà trông thì núi sông bảy huyện thuộc phủ Kinh Môn đều thấy rõ cả.
HVQ_036_002753	Văn Trinh có thơ rằng:
HVQ_036_002754	Sơn yên nhất mạt tịch dương hoành,
HVQ_036_002755	Lưỡng lưỡng ngư chu ngạn bạn hành.
HVQ_036_002756	Độc lập Thanh Lương giang thượng vọng,
HVQ_036_002757	Hàn phong táp táp nộn triều sinh.
HVQ_036_002758	[Dịch] | Bóng mặt trời buổi chiều in vạch ngang vào lưng núi,
HVQ_036_002759	Thuyền đánh cá hai chiếc song song theo ven bờ sông mờ đi.
HVQ_036_002760	Một mình đứng trên sông Thanh Lương mà trông,
HVQ_036_002761	Gió lạnh hây hấy đưa đến, thì thủy triều dâng lên.
HVQ_036_002762	Sông Triển Dương đời cổ gọi là Vụng Lão Nhạn, sông rộng lớn, trên từ sông Lục Đầu giáp địa giới các huyện Phượng Nhỡn, Quế Dương, Yên Dũng, Gia Định thuộc trấn Kinh Bắc.
HVQ_036_002763	Giữa sông có một bãi cát gọi là bãi Đại Than.
HVQ_036_002764	Các nhà phong thủy cho là kiểu đất sáu con rồng tranh nhau ngọc châu.
HVQ_036_002765	(1) Có lẽ Địa lý Cao Biển cũ.
HVQ_036_002766	(2) Lục long tranh châu.
HVQ_036_002767	152 Lịch triều hiến chương loại chí Về văn học thì huyện Thanh Lâm rất nhiều người đỗ, sau đến huyện Chí Linh, sau nữa đến huyện Thanh Hà, huyện Tiên Minh.
HVQ_036_002768	Thói quen của sĩ phu đều chuộng văn nhã.
HVQ_036_002769	Kỹ nghệ của dân gian phần nhiều tinh xảo.
HVQ_036_002770	(Như thợ rèn đồ sắt ở xã Vũ La, huyện Thanh Lâm rèn những thứ bừa và cưa; thợ mộc ở xã Nương Bồng, huyện Tiên Minh và xã Hương Đại, huyện Thanh Hà.
HVQ_036_002771	Thợ nặn đồ đất để nung ở xã Lâm Xuyên, huyện Chí Linh làm những thứ nồi đất và chén.
HVQ_036_002772	Thợ dệt chiếu ở xã Khâu Triệt huyện Thanh Lâm, xã Hạ Vĩnh, xã Lập Lễ huyện Thanh Hà, xã Phiếu Giang, xã Kim Đông huyện Tiên Minh.
HVQ_036_002773	Thợ làm chài lưới ở xã Đông Khê huyện Chí Linh, xã Đông Phiên huyện Thanh Hà).
HVQ_036_002774	Thợ bưng trống ở xã Văn Xá, huyện Thanh Lâm.
HVQ_036_002775	Nghề làm hương đen thì ở xã Lang Giản, huyện Chí Linh.
HVQ_036_002776	Thổ sản thì có các cây cỏ quý, cá, tôm ngon.
HVQ_036_002777	Có cả sơn hào lẫn hải vị.
HVQ_036_002778	(Về huyện Thanh Lâm thì xã Quan Sơn có thuốc lào.
